subscription44441,user00001,Standard,5/6/2022,CREDIT CARD,TRUE
subscription44442,user00002,Standard,4/7/2021,GIFT CARD,FALSE
subscription44443,user00003,Premium,4/25/2022,CREDIT CARD,TRUE
subscription44444,user00004,Standard,4/26/2022,DEBIT CARD,TRUE
subscription44445,user00005,Basic,10/31/2020,DEBIT CARD,FALSE
subscription44446,user00006,Basic,4/13/2022,CREDIT CARD,TRUE
subscription44447,user00007,Basic,4/30/2022,DEBIT CARD,TRUE
subscription44448,user00008,Basic,5/1/2022,CREDIT CARD,TRUE
subscription44449,user00009,Standard,4/28/2022,CREDIT CARD,TRUE
subscription44450,user00010,Basic,2/12/2022,GIFT CARD,FALSE
subscription44451,user00011,Premium,5/1/2022,GIFT CARD,TRUE
subscription44452,user00012,Basic,5/3/2022,DEBIT CARD,TRUE
subscription44453,user00013,Standard,4/29/2022,CREDIT CARD,TRUE
subscription44454,user00014,Basic,1/1/2022,DEBIT CARD,FALSE
subscription44455,user00015,Premium,4/7/2022,DEBIT CARD,TRUE
