chapter77771,series66661,1,1,Do you... belive in magic?,https://image.tmdb.org/t/p/w780/2EnvuCdaXj5C4N4glCIV5XYsT69.jpg
chapter77772,series66661,2,1,Dont let me dream any longer,https://image.tmdb.org/t/p/w780/e0NV29eEz94mg1wuZFPU8R7wZnZ.jpg
chapter77773,series66661,3,1,Merry-go-round,https://image.tmdb.org/t/p/w780/yRUXgRvBvlV75KZP5lzIxqwzmTm.jpg
chapter77774,series66661,4,1,Becoming an adult,https://i.mycdn.me/videoPreview?id=2543676099278&type=37&idx=12&tkn=F72cfIwrFkMPQdynR_GEIySfJoE&fn=external_8
chapter77775,series66661,5,1,Course of asphalt,https://image.tmdb.org/t/p/w780/yeyzdQiveIOFBs4zlvLAmcXOHRt.jpg
chapter77776,series66661,6,1,The last performance,https://image.tmdb.org/t/p/w780/54AI9YzrsO6cUj0oI6VkFEEAz0x.jpg
chapter77777,series66662,1,1,Chapter one: The vanishing of Will Byers,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABYtfkVLxw6lawtNwtIyOhLDnTEXi2AvuyqYG3i-jZ3Y1mrRsZCJAt8mcAxiZqZHQvCS2pl4StiieJUrohIS70br7yzenTsQqVgsVKq3C5A8vuoL_GstEWeB7.jpg?r=d74
chapter77778,series66662,2,1,Chapter two: The Wirdo on Maple Street,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABZtQ1WGK6IBtpb2JOnAW948YBH4GZ_bNqEJrPybAb2_WLyG0YBSIQtDviN3liKMh6bvhhvEKx_cNVHi5-nRjEM1Xi9RQSZcz8NDuVvalorBB2TXk.jpg?r=cc9
chapter77779,series66662,3,1,"Chapter three: Holly, Jolly",https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABVnhH__CW4TB6e3HTlRsCnJdZFA_CoQtxsEPKiC8XDF_9j7BXOQvhr953K_Cob6hap6Wv7QPJ0euDK8hIraC2zTix0_b3m_YEG6qsVWUx5o0TiCE.jpg?r=8da
chapter77780,series66662,4,1,Chapter four: The boy,https://static.wikia.nocookie.net/strangerthings/images/e/eb/Maxresdefault_%282%29.jpg/revision/latest?cb=20200508172538&path-prefix=es
chapter77781,series66662,5,1,Chapter five:  The Flea and the Acrobat,https://cdn.computerhoy.com/sites/navi.axelspringer.es/public/styles/480/public/media/image/2017/10/267089-stranger-things-resumen-temporada-1-su-final.jpg?itok=I-T71j7E
chapter77782,series66662,6,1,Chapter six: The monster ,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABZYtlWKeXj822vSsWsZwbfTqlG7q6IHCc3rpBErf6KCNifHLs6uQpbQn-qxpeJ3sXuRIRTTR3B8LXLEqyJ-1nPayOq_k4HwmOMC6tXcoc5KT0b8jXvG-zb92.jpg?r=3df
chapter77783,series66662,7,1,Chapter seven: The Bathtub ,https://static.wikia.nocookie.net/strangerthings/images/0/0c/Stranger-things-capitulo-siete-la-banera-1.jpg/revision/latest?cb=20200508173229&path-prefix=es
chapter77784,series66662,8,1,Chapter eight: The upside down,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3y6W6cQIAzq0Ak9ZBUocCIyEDJ_sO2j1WaA&usqp=CAU
chapter77785,series66662,1,2,Chapter one: MADMAX,https://static.wikia.nocookie.net/strangerthings/images/4/46/Cap%C3%ADtulo_1_T2.png/revision/latest?cb=20171027115625&path-prefix=es
chapter77786,series66662,2,2,"Chapter two: Trick or treat, Freak",https://static.wikia.nocookie.net/strangerthings/images/6/6d/Cap%C3%ADtulo_2_T2.png/revision/latest?cb=20171027120842&path-prefix=es
chapter77787,series66662,3,2,Chapter three: The pollywog,https://static.wikia.nocookie.net/strangerthings/images/3/3a/Cap%C3%ADtulo_3_T2.png/revision/latest?cb=20171027121906&path-prefix=es
chapter77788,series66662,4,2,Chapter four: Will the wise,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABbn1Dn8gafibw0DnObLzaUBSAMYWu4bw0JKRQTzZTmyb4DNKIds3UpJF8PuAhQ6jD8DtGhFtjA9linFc0GNZhODYHupkhfa0q5b_Bz4DvcLSZCaU_D-rV6TW.jpg?r=cb5
chapter77789,series66662,5,2,Chapter five:  Dig Dug,https://static.wikia.nocookie.net/strangerthings/images/8/86/Cap%C3%ADtulo_5_T2.png/revision/latest/top-crop/width/360/height/450?cb=20171027123623&path-prefix=es
chapter77790,series66662,6,2,Chapter six: The spy,https://static.wikia.nocookie.net/strangerthings/images/a/a7/Cap%C3%ADtulo_6_T2.png/revision/latest?cb=20171027124842&path-prefix=es
chapter77791,series66662,7,2,Chapter seven: The lost sister,https://static.wikia.nocookie.net/strangerthings/images/a/a9/Cap%C3%ADtulo_7_T2.png/revision/latest?cb=20171027125938&path-prefix=es
chapter77792,series66662,8,2,Chapter eight: The mind flayer,https://static.wikia.nocookie.net/strangerthings/images/b/bd/Cap%C3%ADtulo_8_T2.png/revision/latest?cb=20171027131038&path-prefix=es
chapter77793,series66662,9,2,Chapter nine: The gate,https://static.wikia.nocookie.net/strangerthings/images/b/bc/Cap%C3%ADtulo_9_T2.png/revision/latest?cb=20171027131724&path-prefix=es
chapter77794,series66662,1,3,"Chapter one: Suzie, Do you copy?",https://static.wikia.nocookie.net/strangerthings/images/4/40/Capitulo_1_T3.jpg/revision/latest?cb=20190723051126&path-prefix=es
chapter77795,series66662,2,3,Chapter two:  The mall rats,https://miro.medium.com/max/1400/1*IVxbXG23mNdJnQ7OO9r5yg.jpeg
chapter77796,series66662,3,3,Chapter three: The case of missing lifeguard,https://miro.medium.com/max/810/0*yATDJAgqpmBLyJvm.jpg
chapter77797,series66662,4,3,Chapter four: The sauna test,https://www.themoviedb.org/t/p/original/bFRuAb0q7MN0RiJdo0RDMPSjLsK.jpg
chapter77798,series66662,5,3,Chapter five:  The flayed,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABZOPMLJUGu_kCRlv7hyQ9ejmVNUUvIN9fwodMbGTfBlMdy934JJ0lVqrfKzzuEMdboz_wvWkYr-7bkp1H-vZsaW-9Qn0BFbayeJIe_6XDiD6RSPN.jpg?r=3b7
chapter77799,series66662,6,3,Chapter six: E pluribus unum,https://zint.online/wp-content/uploads/2019/07/THINGS_007.jpg
chapter77800,series66662,7,3,Chapter seven: the bite,https://ww3.cuevana.pro/storage/5093/DYnOoQPqPK8gJHzqSo2ycfnoyIhIJfLhtl8qtZIF.jpg
chapter77801,series66662,8,3,Chapter eight: the battle of startcourt,https://ww3.cuevana.pro/storage/16588/j2A7Nr754VZY7Y5ORlntZ7z7NZ88r5PV26y43xjy.jpg
chapter77802,series66663,1,1,"Its just, I wish I could speak",https://somoskudasai.com/wp-content/uploads/2021/10/8-10.jpg
chapter77803,series66663,2,1,Its just a childhood friend. Plus more.,https://www.anmosugoi.com/wp-content/uploads/2021/10/Komi-san-wa-Komyushou-Desu-episodio-2-4.jpg
chapter77804,series66663,3,1,Its just stage fright. Plus more.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBbA7nwfj9MapSBKepqQQ2Ft4Gu5uarxTW-g&usqp=CAU
chapter77805,series66663,4,1,Its just a physical. Plus more.,https://lostinanime.com/wp-content/uploads/2021/10/Komi-san-04-02.jpg
chapter77806,series66663,5,1,Its just my summer uniform. Plus more.,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABZsMSq4WdFNQUg8zvOvTO4BB3E2XMVJEOoFwD_yggCybk4IqRmTqMIk8LF8_6KfPqiWYu-rsFsSP_9t3V9yyCsE6UTc4ae5YEGk21Ar7caPuFLY4.jpg?r=64c
chapter77807,series66663,6,1,Its just a joke. Plus more.,https://somoskudasai.com/wp-content/uploads/2021/11/FDzKCUzaQAA51jr.jpg
chapter77808,series66663,7,1,Its just a the pool. Plus more.,https://somoskudasai.com/wp-content/uploads/2021/11/03.jpg
chapter77809,series66663,8,1,Its just Obon. Plus more.,https://somoskudasai.com/wp-content/uploads/2021/11/02.jpg
chapter77810,series66663,9,1,Its just a country kid. Plus more.,https://image.tmdb.org/t/p/w780/y8m17VhT65YG0lQDrkaf0IcskjM.jpg
chapter77811,series66663,10,1,Its just sports day. Plus more.,https://somoskudasai.com/wp-content/uploads/2021/12/10-7.jpg
chapter77812,series66663,11,1,Its just a performance for the culture festival. Plus more.,https://somoskudasai.com/wp-content/uploads/2021/12/02.jpg
chapter77813,series66663,12,1,Its just the culture festival.,https://www.anmosugoi.com/wp-content/uploads/2021/12/Komi-san-wa-Komyushou-Desu-episodio-12-1.jpg
chapter77814,series66663,13,1,Its just the arrival of winter. Plus more.,"https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_840,h_517/https://www.otakulegion.com/wp-content/uploads/2022/04/%C2%BFQue%CC%81-paso%CC%81-en-Komi-Cant-Communicate-Season-2-Episode-1.jpeg"
chapter77815,series66663,14,1,Its just a typhoon. Plus more.,https://staticg.sportskeeda.com/editor/2022/04/2efc1-16500030273442-1920.jpg
chapter77816,series66664,1,1,Episode 1,https://cdn.vox-cdn.com/thumbor/AwVosmCzZwe6DGswCb4dBQM3-dg=/1400x788/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/22758610/Countdown_Inspiration4_Mission_To_Space_DSC_4204.jpg
chapter77817,series66664,2,1,Episode 2,https://cdn.gizmostory.com/wp-content/uploads/2021/09/Countdown-Inspiration4-Mission-to-Space-Samachar-Central-750x431.jpg?strip=all&lossy=1&ssl=1
chapter77818,series66664,3,1,Episode 3,https://www.cinemaclock.com/images/580x326/44/countdown-inspiration4-mission-to-space-20215661.jpg
chapter77819,series66664,4,1,Episode 4,https://www.commonsensemedia.org/sites/default/files/styles/ratio_16_9_small/public/screenshots/csm-tv/countdowninspirationmts-tv-screenshot-3.jpg
chapter77820,series66664,5,1,Episode 5,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABRVBgalmo_sz3Rhw2PFxvzwMar_5jiUmXC7958iKUJe7b_jum9qcEqRBXtyIE_3LtF_z-xoAdfP6WJb2z1VGprGTn-AaoS71FcVxM6dPfr-s6wVe.jpg?r=764
chapter77821,series66665,1,1,Episode 1,https://m.media-amazon.com/images/M/MV5BMzU1M2EwYzItYjg4YS00ODZlLTk5M2EtMzA4ZWJmNjZkNGI1XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_.jpg
chapter77822,series66665,2,1,Episode 2,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABYBJFuQ4MooP6wqpjBy2-VfLupTvv2o1WwOVI5jXRipzYl2Ol8I-Xd7H-ppb7NK6P4vYX3jxUFa8kTOpOuQ1ni0s-wC5tpa01TblhPaxHm_bN1JD.jpg?r=7ba
chapter77823,series66665,3,1,Episode 3,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABaMK_pe3tcz0vj3I0H8QNvU6wKU-hZeBTlhXeW-iK8J7pYakgWppT8QEwnW_RpSevePBqfmiJmhnBOw4zapAveGAK3cFIqjuAfbViYovEm-C7xN9.jpg?r=ea8
chapter77824,series66665,4,1,Episode 4,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABUvY8hLOlp4iqfN1kCAMscCh7nRZ8scebcOeGEytftDdR4o4F4iM6WEDhAVqxQlk9MqsD73OKpi3GQB_NMRzZ2gusEnvegfT87lh1h9Jsmx0_AE2.jpg?r=949
